Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
BMW 3 серии M340d xDrive VII (G2x),BMW,3 серии M340d xDrive VII (G2x),59000,3,340,2019,3400000,синий,автомат,полный,Дизель,Минск
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),50000,3,249,2019,4250000,серебристый,автомат,полный,Дизель,Тула
"Mercedes-Benz E-Класс 350 e V (W213, S213, C238)",Mercedes-Benz,"E-Класс 350 e V (W213, S213, C238)",156000,2,286,2016,2800000,белый,автомат,задний,Гибрид,Минск
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),53000,2,265,2019,4750000,чёрный,робот,полный,Бензин,Минск
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),179000,2,190,2018,2480000,чёрный,автомат,задний,Дизель,Минск
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 220 d V (W213, S213, C238)",93000,2,194,2019,3440000,чёрный,автомат,задний,Дизель,Минск
Audi A6 40 TDI V (C8),Audi,A6 40 TDI V (C8),167000,2,204,2019,3200000,чёрный,робот,передний,Дизель,Минск
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),140000,3,265,2017,2450000,чёрный,автомат,полный,Дизель,Хабаровск
BMW 3 серии M340i VII (G2x),BMW,3 серии M340i VII (G2x),64000,3,387,2019,3300000,синий,автомат,задний,Бензин,Минск
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),87000,2,190,2018,2700000,серый,механика,задний,Дизель,Краснодар
Audi A4 V (B9),Audi,A4 V (B9),133000,3,218,2019,2500000,чёрный,робот,полный,Дизель,Минск
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",53000,2,197,2019,5560000,чёрный,автомат,задний,Бензин,Ленинский
BMW 3 серии M340i VII (G2x),BMW,3 серии M340i VII (G2x),122000,3,387,2019,2530000,серый,автомат,задний,Бензин,Брест
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 220 d V (W213, S213, C238)",71000,2,194,2019,4300000,коричневый,автомат,задний,Дизель,Могилёв
BMW 3 серии M340i xDrive VII (G2x),BMW,3 серии M340i xDrive VII (G2x),44000,3,374,2020,3020000,белый,автомат,полный,Бензин,Минск
BMW 3 серии 320d VII (G2x),BMW,3 серии 320d VII (G2x),167000,2,190,2019,2350000,серый,механика,задний,Дизель,Минск
BMW 5 серии 525d VII (G30/G31),BMW,5 серии 525d VII (G30/G31),201000,2,231,2018,2530000,серый,автомат,задний,Дизель,Мозырь
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),202000,2,265,2019,3010000,чёрный,робот,передний,Бензин,Гродно
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",75000,"1,5",184,2017,3030000,белый,автомат,полный,Бензин,Москва
BMW 3 серии 320e VII (G2x),BMW,3 серии 320e VII (G2x),83000,2,204,2019,3320000,синий,автомат,задний,Гибрид,Минск
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),168000,2,190,2018,2510000,серебристый,механика,задний,Дизель,Минск
